array_index,case_id,study_family,group_dir,physical_case,mesh_name,Nx,Ny,velocity_m_per_s,stiffness_class,A,beta,Ta_K,threads,core_label,solver,cells,level0_Nx,level0_Ny,level1_Nx,level1_Ny,level2_Nx,level2_Ny,mg_pre_sweeps,mg_post_sweeps,mg_coarse_sweeps,mg_omega,final_time_s,time_steps,vFuel_m_per_s,vOx_m_per_s,HfF_J_per_kg,rho_kg_per_m3,mu_Pa_s,cp_J_per_kgK,Pr,Sc,compute_time_s,pressure_time_s,pressure_fraction_pct,output_time_s,total_wall_s,pressure_solves,total_vcycles,avg_vcycles_per_pressure_solve,max_vcycles_per_pressure_solve,mean_pressure_convergence_factor,final_pressure_cycles,final_pressure_rhs_norm,final_pressure_initial_residual,final_pressure_abs_residual,final_pressure_rel_residual,final_pressure_convergence_factor,restrictions,prolongations,fine_pre_sweeps,fine_post_sweeps,level1_pre_sweeps,level1_post_sweeps,coarse_sweeps,equivalent_fine_grid_smoothing_sweeps,equivalent_fine_grid_smoothing_sweeps_per_pressure_solve,mass_residual_max,mass_residual_l2,mass_residual_integral,Tmin_K,Tmax_K,pmin_Pa,pmax_Pa,umin_m_per_s,umax_m_per_s,vmin_m_per_s,vmax_m_per_s,YFmax,YOmax,YPmax,YN2max,run_complete,run_failed,node,job_id,launcher_wall_seconds
0,FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C1,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M1_108x36,108,36,0.05,nominal_chemistry,10000000,5,1000,1,C1,MG3V_3LEVEL,3888,108,36,36,12,12,4,3,3,40,1,2,20033,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,81.132642452000582,2.6419760130000052,3.2563662826131199,0.067590842999999998,81.203035671999999,20033,13623,0.68002795387610437,16,0.37591341704764397,4,176422.16763189985,13825.306059634226,8.093172426604724,4.5873897454263871e-05,0.15554677447916884,27246,27246,40869,40869,40869,40869,544920,97547.407407407401,4.8693359660264264,0.00072971299358570718,4.9394200190850471e-05,2.9700264403163395e-12,294.95448992961332,915.08435196226958,99999.997843979465,100000.00220877133,-0.01543168114656863,0.01543168114656863,-0.045263975056754564,0.045263975056754564,0.9959727220561686,0.20893768965770471,0.31683565985610462,0.83491281971222919,1,0,orfoz246,6312891,81.321353728
1,FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C2,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M1_108x36,108,36,0.05,nominal_chemistry,10000000,5,1000,2,C2,MG3V_3LEVEL,3888,108,36,36,12,12,4,3,3,40,1,2,20033,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,46.509285026999898,2.9302740299999983,6.3004065280704591,0.067504967999999999,46.579795619000002,20033,13623,0.68002795387610437,16,0.37591341704764397,4,176422.16763189985,13825.306059634226,8.093172426604724,4.5873897454263871e-05,0.15554677447916884,27246,27246,40869,40869,40869,40869,544920,97547.407407407401,4.8693359660264264,0.00072971299358570718,4.9394200190850423e-05,2.9700264403163666e-12,294.95448992961332,915.08435196226958,99999.997843979465,100000.00220877133,-0.01543168114656863,0.01543168114656863,-0.045263975056754564,0.045263975056754564,0.9959727220561686,0.20893768965770471,0.31683565985610462,0.83491281971222919,1,0,orfoz332,6312892,46.675611136
2,FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C4,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M1_108x36,108,36,0.05,nominal_chemistry,10000000,5,1000,4,C4,MG3V_3LEVEL,3888,108,36,36,12,12,4,3,3,40,1,2,20033,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,29.406350704000126,3.4681811709999946,11.793986972100624,0.067857149000000005,29.477188135999999,20033,13623,0.68002795387610437,16,0.37591341704764397,4,176422.16763189985,13825.306059634226,8.093172426604724,4.5873897454263871e-05,0.15554677447916884,27246,27246,40869,40869,40869,40869,544920,97547.407407407401,4.8693359660264264,0.00072971299358570718,4.9394200190850423e-05,2.9700264403163941e-12,294.95448992961332,915.08435196226958,99999.997843979465,100000.00220877133,-0.01543168114656863,0.01543168114656863,-0.045263975056754564,0.045263975056754564,0.9959727220561686,0.20893768965770471,0.31683565985610462,0.83491281971222919,1,0,orfoz350,6312893,29.567864576
3,FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C16,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M1_108x36,108,36,0.05,nominal_chemistry,10000000,5,1000,16,C16,MG3V_3LEVEL,3888,108,36,36,12,12,4,3,3,40,1,2,20033,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,23.919298305000034,6.273309134999983,26.226978128738104,0.067361935000000012,23.990663907999998,20033,13623,0.68002795387610437,16,0.37591341704764397,4,176422.16763189985,13825.306059634226,8.093172426604724,4.5873897454263871e-05,0.15554677447916884,27246,27246,40869,40869,40869,40869,544920,97547.407407407401,4.8693359660264264,0.00072971299358570718,4.9394200190850457e-05,2.9700264403163916e-12,294.95448992961332,915.08435196226958,99999.997843979465,100000.00220877133,-0.01543168114656863,0.01543168114656863,-0.045263975056754564,0.045263975056754564,0.9959727220561686,0.20893768965770471,0.31683565985610462,0.83491281971222919,1,0,orfoz332,6312897,24.088324096
4,FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C1,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M2_216x72,216,72,0.05,nominal_chemistry,10000000,5,1000,1,C1,MG3V_3LEVEL,15552,216,72,72,24,24,8,3,3,40,1,2,20033,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,361.13320369500281,8.3664074239999913,2.3167095515996614,0.16223896399999999,361.29977353100003,20033,12282,0.61308840413318022,17,0.4386776795812396,3,573552.24984265771,30681.286952032708,39.804946311167441,6.940073257856997e-05,0.10906560764603272,24564,24564,36846,36846,36846,36846,491280,87945.185185185182,4.3900157332993155,0.0036787004072635909,0.00014410565705100229,5.1353807523896217e-12,293.82295019770078,929.86247938638348,99999.997557351016,100000.00231088206,-0.014137384593959915,0.014137384593959915,-0.050531964391084823,0.050531964391084823,0.99839386607584779,0.20957459405872614,0.32359446670915759,0.83394696669118362,1,0,orfoz350,6312898,361.388755968
5,FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C2,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M2_216x72,216,72,0.05,nominal_chemistry,10000000,5,1000,2,C2,MG3V_3LEVEL,15552,216,72,72,24,24,8,3,3,40,1,2,20033,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,191.52137483399994,6.1689359889999933,3.2210169723075994,0.16342142399999998,191.68837899900001,20033,12282,0.61308840413318022,17,0.4386776795812396,3,573552.24984265771,30681.286952032708,39.804946311167441,6.940073257856997e-05,0.10906560764603272,24564,24564,36846,36846,36846,36846,491280,87945.185185185182,4.3900157332993155,0.0036787004072635909,0.00014410565705100253,5.1353807523895926e-12,293.82295019770078,929.86247938638348,99999.997557351016,100000.00231088206,-0.014137384593959915,0.014137384593959915,-0.050531964391084823,0.050531964391084823,0.99839386607584779,0.20957459405872614,0.32359446670915759,0.83394696669118362,1,0,orfoz246,6312902,191.796758784
6,FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C4,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M2_216x72,216,72,0.05,nominal_chemistry,10000000,5,1000,4,C4,MG3V_3LEVEL,15552,216,72,72,24,24,8,3,3,40,1,2,20033,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,106.12426148899964,5.4073329139999773,5.0952843752514374,0.162611014,106.289540675,20033,12282,0.61308840413318022,17,0.4386776795812396,3,573552.24984265771,30681.286952032708,39.804946311167441,6.940073257856997e-05,0.10906560764603272,24564,24564,36846,36846,36846,36846,491280,87945.185185185182,4.3900157332993155,0.0036787004072635909,0.00014410565705100242,5.1353807523895958e-12,293.82295019770078,929.86247938638348,99999.997557351016,100000.00231088206,-0.014137384593959915,0.014137384593959915,-0.050531964391084823,0.050531964391084823,0.99839386607584779,0.20957459405872614,0.32359446670915759,0.83394696669118362,1,0,orfoz332,6312903,106.408513024
7,FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C16,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M2_216x72,216,72,0.05,nominal_chemistry,10000000,5,1000,16,C16,MG3V_3LEVEL,15552,216,72,72,24,24,8,3,3,40,1,2,20033,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,47.77639410499971,7.2218416000000181,15.115920184617421,0.162957771,47.943579855999999,20033,12282,0.61308840413318022,17,0.4386776795812396,3,573552.24984265771,30681.286952032708,39.804946311167441,6.940073257856997e-05,0.10906560764603272,24564,24564,36846,36846,36846,36846,491280,87945.185185185182,4.3900157332993155,0.0036787004072635909,0.0001441056570510025,5.1353807523896362e-12,293.82295019770078,929.86247938638348,99999.997557351016,100000.00231088206,-0.014137384593959915,0.014137384593959915,-0.050531964391084823,0.050531964391084823,0.99839386607584779,0.20957459405872614,0.32359446670915759,0.83394696669118362,1,0,orfoz332,6312906,48.039559936
8,FLOW_INTENSITY__BC1_LOW_v005__M3_432x144__C1,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M3_432x144,432,144,0.05,nominal_chemistry,10000000,5,1000,1,C1,MG3V_3LEVEL,62208,432,144,144,48,48,16,3,3,40,1,2,48534,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,3454.8602372009846,75.246717692000274,2.1779959976894094,0.596325039,3455.4837732599999,48534,28207,0.58118020356863231,37,0.49388196159296666,6,7612036.7324017314,4546071.8437298564,499.89971007843269,6.5672267180548076e-05,0.21888084921059583,56414,56414,84621,84621,84621,84621,1128280,201976.04938271604,4.1615372601210705,0.0063161107601743538,0.00017160985463942824,2.1828653376799783e-11,293.38937640935092,930.71377515190215,99999.992572437783,100000.00638556932,-0.014314442844751401,0.014314441565139037,-0.050819759544393661,0.050819765936572427,0.99925028804681215,0.20980106872165405,0.32406895867444563,0.83351745545231215,1,0,orfoz332,6312912,3455.637650176
9,FLOW_INTENSITY__BC1_LOW_v005__M3_432x144__C2,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M3_432x144,432,144,0.05,nominal_chemistry,10000000,5,1000,2,C2,MG3V_3LEVEL,62208,432,144,144,48,48,16,3,3,40,1,2,48534,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,1794.0512355979863,45.708108288999938,2.5477593606051436,0.58656764100000003,1794.653970933,48534,28207,0.58118020356863231,37,0.49388196159296666,6,7612036.7324017314,4546071.8437298564,499.89971007843269,6.5672267180548076e-05,0.21888084921059583,56414,56414,84621,84621,84621,84621,1128280,201976.04938271604,4.1615372601210705,0.0063161107601743538,0.00017160985463942764,2.1828653376799663e-11,293.38937640935092,930.71377515190215,99999.992572437783,100000.00638556932,-0.014314442844751401,0.014314441565139037,-0.050819759544393661,0.050819765936572427,0.99925028804681215,0.20980106872165405,0.32406895867444563,0.83351745545231215,1,0,orfoz246,6312913,1794.760608256
