array_index,case_id,study_family,group_dir,physical_case,mesh_name,Nx,Ny,velocity_m_per_s,stiffness_class,A,beta,Ta_K,threads,core_label,solver,cells,level0_Nx,level0_Ny,level1_Nx,level1_Ny,level2_Nx,level2_Ny,mg_pre_sweeps,mg_post_sweeps,mg_coarse_sweeps,mg_omega,final_time_s,time_steps,vFuel_m_per_s,vOx_m_per_s,HfF_J_per_kg,rho_kg_per_m3,mu_Pa_s,cp_J_per_kgK,Pr,Sc,compute_time_s,pressure_time_s,pressure_fraction_pct,output_time_s,total_wall_s,pressure_solves,total_vcycles,avg_vcycles_per_pressure_solve,max_vcycles_per_pressure_solve,mean_pressure_convergence_factor,final_pressure_cycles,final_pressure_rhs_norm,final_pressure_initial_residual,final_pressure_abs_residual,final_pressure_rel_residual,final_pressure_convergence_factor,restrictions,prolongations,fine_pre_sweeps,fine_post_sweeps,level1_pre_sweeps,level1_post_sweeps,coarse_sweeps,equivalent_fine_grid_smoothing_sweeps,equivalent_fine_grid_smoothing_sweeps_per_pressure_solve,mass_residual_max,mass_residual_l2,mass_residual_integral,Tmin_K,Tmax_K,pmin_Pa,pmax_Pa,umin_m_per_s,umax_m_per_s,vmin_m_per_s,vmax_m_per_s,YFmax,YOmax,YPmax,YN2max,run_complete,run_failed,node,job_id,launcher_wall_seconds
10,FLOW_INTENSITY__BC1_LOW_v005__M3_432x144__C4,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M3_432x144,432,144,0.05,nominal_chemistry,10000000,5,1000,4,C4,MG2V_3LEVEL,62208,432,144,216,72,108,36,3,3,40,1,2,48534,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,939.74528675199861,31.155629831000059,3.3153270647072812,0.59083312799999999,940.34727988999998,48534,24600,0.50686116948943005,175,0.032022857472614651,5,7612076.7802062361,4546123.5477843611,312.45429745281581,4.1047181534649524e-05,0.14703781946964756,49200,49200,73800,73800,73800,73800,984000,246000,5.068611694894301,0.0039478074909664596,0.00010659704598889082,1.283139922735292e-11,293.38937653952104,930.71340248604668,99999.992546830035,100000.00637446319,-0.014314367186452098,0.01431436400661105,-0.050819216713007036,0.050819216136050741,0.99925031322093605,0.20980107013260338,0.32406873967588523,0.83351745388446152,1,0,orfoz264,6282721,940.743824384
11,FLOW_INTENSITY__BC1_LOW_v005__M3_432x144__C16,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M3_432x144,432,144,0.05,nominal_chemistry,10000000,5,1000,16,C16,MG2V_3LEVEL,62208,432,144,216,72,108,36,3,3,40,1,2,48534,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,304.19014754599783,22.641949703000211,7.4433540618130731,0.58548895099999998,304.788711433,48534,24600,0.50686116948943005,175,0.032022857472614651,5,7612076.7802062361,4546123.5477843611,312.45429745281581,4.1047181534649524e-05,0.14703781946964756,49200,49200,73800,73800,73800,73800,984000,246000,5.068611694894301,0.0039478074909664596,0.00010659704598889085,1.2831399227352859e-11,293.38937653952104,930.71340248604668,99999.992546830035,100000.00637446319,-0.014314367186452098,0.01431436400661105,-0.050819216713007036,0.050819216136050741,0.99925031322093605,0.20980107013260338,0.32406873967588523,0.83351745388446152,1,0,orfoz264,6282809,305.298901504
12,FLOW_INTENSITY__BC1_LOW_v005__M4_864x288__C1,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M4_864x288,864,288,0.05,nominal_chemistry,10000000,5,1000,1,C1,MG2V_3LEVEL,248832,864,288,432,144,216,72,3,3,40,1,2,194042,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,53093.22106019179,1298.4965283530269,2.4456917520240884,2.3406232679999999,53095.893519095996,194042,97816,0.50409705115387393,500,0.022456526825797008,4,37325508.569689751,13147069.507189751,1848.998093503993,4.9537117225121358e-05,0.10889974832898745,195632,195632,293448,293448,293448,293448,3912640,978160,5.0409705115387391,0.010453754070013588,0.00018046310021795062,-3.6301106945776504e-13,293.1981878968673,922.48100182172413,99999.989911617202,100000.00856806514,-0.014290358152103066,0.014290359094710072,-0.050443915855689331,0.050443915585809539,0.99960236414755588,0.20989511546133979,0.32072239272692649,0.83645885196257586,1,0,orfoz264,6282826,53096.043996160
13,FLOW_INTENSITY__BC1_LOW_v005__M4_864x288__C2,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M4_864x288,864,288,0.05,nominal_chemistry,10000000,5,1000,2,C2,MG2V_3LEVEL,248832,864,288,432,144,216,72,3,3,40,1,2,194042,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,26870.310465354123,695.86765549698885,2.5897268898110517,2.3523708330000002,26872.839943237999,194042,97816,0.50409705115387393,500,0.022456526825797008,4,37325508.569689751,13147069.507189751,1848.998093503993,4.9537117225121358e-05,0.10889974832898745,195632,195632,293448,293448,293448,293448,3912640,978160,5.0409705115387391,0.010453754070013588,0.0001804631002179523,-3.6301106945775555e-13,293.1981878968673,922.48100182172413,99999.989911617202,100000.00856806514,-0.014290358152103066,0.014290359094710072,-0.050443915855689331,0.050443915585809539,0.99960236414755588,0.20989511546133979,0.32072239272692649,0.83645885196257586,1,0,orfoz198,6282828,26872.993704448
14,FLOW_INTENSITY__BC1_LOW_v005__M4_864x288__C4,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M4_864x288,864,288,0.05,nominal_chemistry,10000000,5,1000,4,C4,MG2V_3LEVEL,248832,864,288,432,144,216,72,3,3,40,1,2,194042,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,13764.520198108868,390.26368122499815,2.8352872138515743,2.3712444810000002,13766.988591022,194042,97816,0.50409705115387393,500,0.022456526825797008,4,37325508.569689751,13147069.507189751,1848.998093503993,4.9537117225121358e-05,0.10889974832898745,195632,195632,293448,293448,293448,293448,3912640,978160,5.0409705115387391,0.010453754070013588,0.00018046310021795298,-3.6301106945774843e-13,293.1981878968673,922.48100182172413,99999.989911617202,100000.00856806514,-0.014290358152103066,0.014290359094710072,-0.050443915855689331,0.050443915585809539,0.99960236414755588,0.20989511546133979,0.32072239272692649,0.83645885196257586,1,0,orfoz254,6282854,13767.158756096
15,FLOW_INTENSITY__BC1_LOW_v005__M4_864x288__C16,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M4_864x288,864,288,0.05,nominal_chemistry,10000000,5,1000,16,C16,MG2V_3LEVEL,248832,864,288,432,144,216,72,3,3,40,1,2,194042,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,3928.0740337530783,174.50076465500021,4.4424000962189973,2.3434756409999999,3930.4687677209999,194042,97816,0.50409705115387393,500,0.022456526825797008,4,37325508.569689751,13147069.507189751,1848.998093503993,4.9537117225121358e-05,0.10889974832898745,195632,195632,293448,293448,293448,293448,3912640,978160,5.0409705115387391,0.010453754070013588,0.00018046310021795252,-3.6301106945774883e-13,293.1981878968673,922.48100182172413,99999.989911617202,100000.00856806514,-0.014290358152103066,0.014290359094710072,-0.050443915855689331,0.050443915585809539,0.99960236414755588,0.20989511546133979,0.32072239272692649,0.83645885196257586,1,0,orfoz356,6285372,3930.991867136
16,FLOW_INTENSITY__BC2_NOMINAL_v010__M1_108x36__C1,FLOW_INTENSITY,FLOW,BC2_NOMINAL_v010,M1_108x36,108,36,0.1,nominal_chemistry,10000000,5,1000,1,C1,MG2V_3LEVEL,3888,108,36,54,18,27,9,3,3,40,1,2,20033,0.10000000000000001,-0.10000000000000001,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,82.867121890999655,2.4702440479999965,2.980970005509862,0.068450208999999998,82.938260870999997,20033,10139,0.50611491039784351,14,0.047175423641910637,3,377874.18024775328,28919.053538768901,27.329709918863955,7.2324893701245286e-05,0.098133430792519058,20278,20278,30417,30417,30417,30417,405560,101390,5.061149103978436,0.0024640679371543683,0.00015176278878627306,2.2588000159142245e-10,293.37417457094739,1073.7658692071054,99999.995270546176,100000.00503285692,-0.031704764093118634,0.031704764093118634,-0.091588541185766842,0.091588541185766842,0.99909734019387075,0.20977340145948009,0.38157493427796418,0.99590625200073468,1,0,orfoz357,6285373,83.449206016
17,FLOW_INTENSITY__BC2_NOMINAL_v010__M1_108x36__C2,FLOW_INTENSITY,FLOW,BC2_NOMINAL_v010,M1_108x36,108,36,0.1,nominal_chemistry,10000000,5,1000,2,C2,MG2V_3LEVEL,3888,108,36,54,18,27,9,3,3,40,1,2,20033,0.10000000000000001,-0.10000000000000001,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,46.996711213000211,2.6974277389999903,5.7396095798589171,0.070718527000000003,47.071225480000003,20033,10139,0.50611491039784351,14,0.047175423641910637,3,377874.18024775328,28919.053538768901,27.329709918863955,7.2324893701245286e-05,0.098133430792519058,20278,20278,30417,30417,30417,30417,405560,101390,5.061149103978436,0.0024640679371543683,0.00015176278878627306,2.2588000159142276e-10,293.37417457094739,1073.7658692071054,99999.995270546176,100000.00503285692,-0.031704764093118634,0.031704764093118634,-0.091588541185766842,0.091588541185766842,0.99909734019387075,0.20977340145948009,0.38157493427796418,0.99590625200073468,1,0,orfoz202,6293372,47.210598144
18,FLOW_INTENSITY__BC2_NOMINAL_v010__M1_108x36__C4,FLOW_INTENSITY,FLOW,BC2_NOMINAL_v010,M1_108x36,108,36,0.1,nominal_chemistry,10000000,5,1000,4,C4,MG2V_3LEVEL,3888,108,36,54,18,27,9,3,3,40,1,2,20033,0.10000000000000001,-0.10000000000000001,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,39.342680526000031,3.4125818929999761,8.673994367884351,0.097043404,39.454401034999997,20033,10139,0.50611491039784351,14,0.047175423641910637,3,377874.18024775328,28919.053538768901,27.329709918863955,7.2324893701245286e-05,0.098133430792519058,20278,20278,30417,30417,30417,30417,405560,101390,5.061149103978436,0.0024640679371543683,0.00015176278878627309,2.258800015914226e-10,293.37417457094739,1073.7658692071054,99999.995270546176,100000.00503285692,-0.031704764093118634,0.031704764093118634,-0.091588541185766842,0.091588541185766842,0.99909734019387075,0.20977340145948009,0.38157493427796418,0.99590625200073468,1,0,orfoz338,6293374,40.180846080
19,FLOW_INTENSITY__BC2_NOMINAL_v010__M1_108x36__C16,FLOW_INTENSITY,FLOW,BC2_NOMINAL_v010,M1_108x36,108,36,0.1,nominal_chemistry,10000000,5,1000,16,C16,MG2V_3LEVEL,3888,108,36,54,18,27,9,3,3,40,1,2,20033,0.10000000000000001,-0.10000000000000001,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,23.317133033999912,5.5478360990000226,23.792959841634207,0.067951126999999903,23.390463205,20033,10139,0.50611491039784351,14,0.047175423641910637,3,377874.18024775328,28919.053538768901,27.329709918863955,7.2324893701245286e-05,0.098133430792519058,20278,20278,30417,30417,30417,30417,405560,101390,5.061149103978436,0.0024640679371543683,0.00015176278878627306,2.2588000159142258e-10,293.37417457094739,1073.7658692071054,99999.995270546176,100000.00503285692,-0.031704764093118634,0.031704764093118634,-0.091588541185766842,0.091588541185766842,0.99909734019387075,0.20977340145948009,0.38157493427796418,0.99590625200073468,1,0,orfoz301,6285491,23.472989440
