array_index,case_id,study_family,group_dir,physical_case,mesh_name,Nx,Ny,velocity_m_per_s,stiffness_class,A,beta,Ta,threads,core_label,status,run_dir,launcher_wall_seconds,exit_code,summary_case_id,solver,summary_threads,summary_Nx,summary_Ny,cells,level0_Nx,level0_Ny,rmt_smoothing_sweeps,rmt_max_cycles,final_time_s,time_steps,vFuel_m_per_s,vOx_m_per_s,summary_A,summary_beta,Ta_K,HfF_J_per_kg,rho_kg_per_m3,mu_Pa_s,cp_J_per_kgK,Pr,Sc,compute_time_s,pressure_time_s,pressure_fraction_pct,output_time_s,total_wall_s,pressure_solves,total_rmt_cycles,avg_rmt_cycles_per_pressure_solve,max_rmt_cycles_per_pressure_solve,mean_pressure_convergence_factor,final_pressure_cycles,final_pressure_rhs_norm,final_pressure_initial_residual,final_pressure_abs_residual,final_pressure_rel_residual,final_pressure_convergence_factor,equivalent_fine_grid_smoothing_sweeps,equivalent_fine_grid_smoothing_sweeps_per_pressure_solve,mass_residual_max,mass_residual_l2,mass_residual_integral,Tmin_K,Tmax_K,pmin_Pa,pmax_Pa,umin_m_per_s,umax_m_per_s,vmin_m_per_s,vmax_m_per_s,YFmax,YOmax,YPmax,YN2max,diag_levelsX,diag_levelsY,diag_direct_solves,diag_direct_unknowns,diag_lu_factorizations,diag_nonmonotone_cycles,diag_last_cycle_ratio,diag_max_cycle_ratio,diag_point_updates
10,FLOW_INTENSITY__BC1_LOW_v005__M3_432x144__C4,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M3_432x144,432,144,0.05,nominal_chemistry,10000000,5,1000,4,C4,missing,results/FLOW/BC1_LOW_v005/M3_432x144/C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,FLOW_INTENSITY__BC1_LOW_v005__M3_432x144__C16,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M3_432x144,432,144,0.05,nominal_chemistry,10000000,5,1000,16,C16,complete,results/FLOW/BC1_LOW_v005/M3_432x144/C16,348.722945792,0,FLOW_INTENSITY__BC1_LOW_v005__M3_432x144__C16,RMT_FINALVOL2,16,432,144,62208,432,144,16,500,2,48534,0.050000000000000003,-0.050000000000000003,10000000,5,1000,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,347.83647914499875,66.347514348999724,19.074340480931031,0.58904524400000002,348.43794314100001,48534,19052,0.39254955289075699,4,0.20726177676908644,3,7612133.1560912021,4546433.2321027704,84.296407862908382,1.1073953402333049e-05,0.026467489549805333,1524160,31.403964231260559,0.0010650651318186988,5.4713377451182644e-05,-6.9406682050334671e-13,293.3893758024285,930.71465762446292,99999.9923938305,100000.00654371135,-0.014314497651339006,0.014314493921219076,-0.050819397695540447,0.05081952801530739,0.99924896676759278,0.20980135523826138,0.32406941939199929,0.83351737277778337,5,4,375000516,1185186816,19683,0,0.056491815041036113,0.23540812506393488,94814945280
12,FLOW_INTENSITY__BC1_LOW_v005__M4_864x288__C1,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M4_864x288,864,288,0.05,nominal_chemistry,10000000,5,1000,1,C1,missing,results/FLOW/BC1_LOW_v005/M4_864x288/C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,FLOW_INTENSITY__BC1_LOW_v005__M4_864x288__C2,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M4_864x288,864,288,0.05,nominal_chemistry,10000000,5,1000,2,C2,missing,results/FLOW/BC1_LOW_v005/M4_864x288/C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,FLOW_INTENSITY__BC1_LOW_v005__M4_864x288__C4,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M4_864x288,864,288,0.05,nominal_chemistry,10000000,5,1000,4,C4,missing,results/FLOW/BC1_LOW_v005/M4_864x288/C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,FLOW_INTENSITY__BC1_LOW_v005__M4_864x288__C16,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M4_864x288,864,288,0.05,nominal_chemistry,10000000,5,1000,16,C16,missing,results/FLOW/BC1_LOW_v005/M4_864x288/C16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,FLOW_INTENSITY__BC2_NOMINAL_v010__M1_108x36__C1,FLOW_INTENSITY,FLOW,BC2_NOMINAL_v010,M1_108x36,108,36,0.1,nominal_chemistry,10000000,5,1000,1,C1,missing,results/FLOW/BC2_NOMINAL_v010/M1_108x36/C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,FLOW_INTENSITY__BC2_NOMINAL_v010__M1_108x36__C2,FLOW_INTENSITY,FLOW,BC2_NOMINAL_v010,M1_108x36,108,36,0.1,nominal_chemistry,10000000,5,1000,2,C2,missing,results/FLOW/BC2_NOMINAL_v010/M1_108x36/C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,FLOW_INTENSITY__BC2_NOMINAL_v010__M1_108x36__C4,FLOW_INTENSITY,FLOW,BC2_NOMINAL_v010,M1_108x36,108,36,0.1,nominal_chemistry,10000000,5,1000,4,C4,missing,results/FLOW/BC2_NOMINAL_v010/M1_108x36/C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,FLOW_INTENSITY__BC2_NOMINAL_v010__M1_108x36__C16,FLOW_INTENSITY,FLOW,BC2_NOMINAL_v010,M1_108x36,108,36,0.1,nominal_chemistry,10000000,5,1000,16,C16,missing,results/FLOW/BC2_NOMINAL_v010/M1_108x36/C16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
