array_index,case_id,study_family,group_dir,physical_case,mesh_name,Nx,Ny,velocity_m_per_s,stiffness_class,A,beta,Ta,threads,core_label,status,run_dir,launcher_wall_seconds,exit_code,summary_case_id,solver,summary_threads,summary_Nx,summary_Ny,cells,level0_Nx,level0_Ny,rmt_smoothing_sweeps,rmt_max_cycles,final_time_s,time_steps,vFuel_m_per_s,vOx_m_per_s,summary_A,summary_beta,Ta_K,HfF_J_per_kg,rho_kg_per_m3,mu_Pa_s,cp_J_per_kgK,Pr,Sc,compute_time_s,pressure_time_s,pressure_fraction_pct,output_time_s,total_wall_s,pressure_solves,total_rmt_cycles,avg_rmt_cycles_per_pressure_solve,max_rmt_cycles_per_pressure_solve,mean_pressure_convergence_factor,final_pressure_cycles,final_pressure_rhs_norm,final_pressure_initial_residual,final_pressure_abs_residual,final_pressure_rel_residual,final_pressure_convergence_factor,equivalent_fine_grid_smoothing_sweeps,equivalent_fine_grid_smoothing_sweeps_per_pressure_solve,mass_residual_max,mass_residual_l2,mass_residual_integral,Tmin_K,Tmax_K,pmin_Pa,pmax_Pa,umin_m_per_s,umax_m_per_s,vmin_m_per_s,vmax_m_per_s,YFmax,YOmax,YPmax,YN2max,diag_levelsX,diag_levelsY,diag_direct_solves,diag_direct_unknowns,diag_nonmonotone_cycles,diag_last_cycle_ratio,diag_max_cycle_ratio,diag_point_updates
10,FLOW_INTENSITY__BC1_LOW_v005__M3_432x144__C4,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M3_432x144,432,144,0.05,nominal_chemistry,10000000,5,1000,4,C4,complete,results/FLOW/BC1_LOW_v005/M3_432x144/C4,1358.039510528,0,FLOW_INTENSITY__BC1_LOW_v005__M3_432x144__C4,RMT_FINAL,4,432,144,62208,432,144,16,500,2,48534,0.050000000000000003,-0.050000000000000003,10000000,5,1000,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,1357.3302665190024,455.89709270899942,33.587779183484152,0.59685242199999988,1357.93681707,48534,19052,0.39254955289075699,4,0.20726177676908644,3,7612133.1560912021,4546433.2321027704,84.296407862908382,1.1073953402333049e-05,0.026467489549805333,1524160,31.403964231260559,0.0010650651318186988,5.4713377451182576e-05,-6.9406682050325623e-13,293.3893758024285,930.71465762446292,99999.9923938305,100000.00654371135,-0.014314497651339006,0.014314493921219076,-0.050819397695540447,0.05081952801530739,0.99924896676759278,0.20980135523826138,0.32406941939199929,0.83351737277778337,5,4,375000516,1185186816,0,0.056491815041036113,0.23540812506393488,94814945280
11,FLOW_INTENSITY__BC1_LOW_v005__M3_432x144__C16,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M3_432x144,432,144,0.05,nominal_chemistry,10000000,5,1000,16,C16,complete,results/FLOW/BC1_LOW_v005/M3_432x144/C16,432.605119488,0,FLOW_INTENSITY__BC1_LOW_v005__M3_432x144__C16,RMT_FINAL,16,432,144,62208,432,144,16,500,2,48534,0.050000000000000003,-0.050000000000000003,10000000,5,1000,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,431.91662479099784,148.15356698499895,34.301427285113107,0.58883413600000012,432.51564332200002,48534,19052,0.39254955289075699,4,0.20726177676908644,3,7612133.1560912021,4546433.2321027704,84.296407862908382,1.1073953402333049e-05,0.026467489549805333,1524160,31.403964231260559,0.0010650651318186988,5.4713377451182644e-05,-6.9406682050333257e-13,293.3893758024285,930.71465762446292,99999.9923938305,100000.00654371135,-0.014314497651339006,0.014314493921219076,-0.050819397695540447,0.05081952801530739,0.99924896676759278,0.20980135523826138,0.32406941939199929,0.83351737277778337,5,4,375000516,1185186816,0,0.056491815041036113,0.23540812506393488,94814945280
12,FLOW_INTENSITY__BC1_LOW_v005__M4_864x288__C1,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M4_864x288,864,288,0.05,nominal_chemistry,10000000,5,1000,1,C1,complete,results/FLOW/BC1_LOW_v005/M4_864x288/C1,83374.421521408,0,FLOW_INTENSITY__BC1_LOW_v005__M4_864x288__C1,RMT_FINAL,1,864,288,248832,864,288,16,500,2,194042,0.050000000000000003,-0.050000000000000003,10000000,5,1000,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,83371.664244076601,31690.730071066442,38.011391950014968,2.3444526989999996,83374.333310018003,194042,87528,0.45107760175632078,6,0.18537339355413238,2,37326117.543868937,13149767.570227601,2791.0031566625112,7.4773465345874204e-05,0.014568710910253203,7002240,36.086208140505661,0.01577965748839949,0.00040452785094882167,-5.7495137790030599e-11,293.19818773324812,922.4810625840106,99999.989870003235,100000.00853988361,-0.014290299503094231,0.014290299376282792,-0.050444310576637237,0.05044439461756569,0.99960180094017315,0.20989522904301872,0.32072242816822838,0.83645886091147426,5,4,1722813624,21779767296,0,0.032580874062364679,0.87492767422875917,1742381383680
13,FLOW_INTENSITY__BC1_LOW_v005__M4_864x288__C2,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M4_864x288,864,288,0.05,nominal_chemistry,10000000,5,1000,2,C2,complete,results/FLOW/BC1_LOW_v005/M4_864x288/C2,42249.339707648,0,FLOW_INTENSITY__BC1_LOW_v005__M4_864x288__C2,RMT_FINAL,2,864,288,248832,864,288,16,500,2,194042,0.050000000000000003,-0.050000000000000003,10000000,5,1000,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,42246.677778048324,16104.222932456449,38.119501412781659,2.3585976790000003,42249.213147937,194042,87528,0.45107760175632078,6,0.18537339355413238,2,37326117.543868937,13149767.570227601,2791.0031566625112,7.4773465345874204e-05,0.014568710910253203,7002240,36.086208140505661,0.01577965748839949,0.00040452785094882834,-5.7495137790031019e-11,293.19818773324812,922.4810625840106,99999.989870003235,100000.00853988361,-0.014290299503094231,0.014290299376282792,-0.050444310576637237,0.05044439461756569,0.99960180094017315,0.20989522904301872,0.32072242816822838,0.83645886091147426,5,4,1722813624,21779767296,0,0.032580874062364679,0.87492767422875917,1742381383680
14,FLOW_INTENSITY__BC1_LOW_v005__M4_864x288__C4,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M4_864x288,864,288,0.05,nominal_chemistry,10000000,5,1000,4,C4,complete,results/FLOW/BC1_LOW_v005/M4_864x288/C4,21703.978439168,0,FLOW_INTENSITY__BC1_LOW_v005__M4_864x288__C4,RMT_FINAL,4,864,288,248832,864,288,16,500,2,194042,0.050000000000000003,-0.050000000000000003,10000000,5,1000,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,21701.368272039213,8336.6852841100845,38.415482284826048,2.4059043189999998,21703.879505161,194042,87528,0.45107760175632078,6,0.18537339355413238,2,37326117.543868937,13149767.570227601,2791.0031566625112,7.4773465345874204e-05,0.014568710910253203,7002240,36.086208140505661,0.01577965748839949,0.00040452785094882736,-5.7495137790031077e-11,293.19818773324812,922.4810625840106,99999.989870003235,100000.00853988361,-0.014290299503094231,0.014290299376282792,-0.050444310576637237,0.05044439461756569,0.99960180094017315,0.20989522904301872,0.32072242816822838,0.83645886091147426,5,4,1722813624,21779767296,0,0.032580874062364679,0.87492767422875917,1742381383680
15,FLOW_INTENSITY__BC1_LOW_v005__M4_864x288__C16,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M4_864x288,864,288,0.05,nominal_chemistry,10000000,5,1000,16,C16,complete,results/FLOW/BC1_LOW_v005/M4_864x288/C16,6294.273423872,0,FLOW_INTENSITY__BC1_LOW_v005__M4_864x288__C16,RMT_FINAL,16,864,288,248832,864,288,16,500,2,194042,0.050000000000000003,-0.050000000000000003,10000000,5,1000,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,6291.7118575597869,2539.9275712450935,40.369419781887359,2.3910116610000003,6294.1681900590002,194042,87528,0.45107760175632078,6,0.18537339355413238,2,37326117.543868937,13149767.570227601,2791.0031566625112,7.4773465345874204e-05,0.014568710910253203,7002240,36.086208140505661,0.01577965748839949,0.00040452785094882677,-5.7495137790031161e-11,293.19818773324812,922.4810625840106,99999.989870003235,100000.00853988361,-0.014290299503094231,0.014290299376282792,-0.050444310576637237,0.05044439461756569,0.99960180094017315,0.20989522904301872,0.32072242816822838,0.83645886091147426,5,4,1722813624,21779767296,0,0.032580874062364679,0.87492767422875917,1742381383680
16,FLOW_INTENSITY__BC2_NOMINAL_v010__M1_108x36__C1,FLOW_INTENSITY,FLOW,BC2_NOMINAL_v010,M1_108x36,108,36,0.1,nominal_chemistry,10000000,5,1000,1,C1,complete,results/FLOW/BC2_NOMINAL_v010/M1_108x36/C1,104.067680256,0,FLOW_INTENSITY__BC2_NOMINAL_v010__M1_108x36__C1,RMT_FINAL,1,108,36,3888,108,36,16,500,2,20033,0.10000000000000001,-0.10000000000000001,10000000,5,1000,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,103.88612643499998,22.664450013999627,21.816628256113137,0.070207718000000002,103.958219848,20033,6136,0.30629461388708629,3,0.14995549938066949,2,377878.75614581577,28944.682050365431,6.0403005279035824,1.5984758152354964e-05,0.014445909234997624,294528,14.702141466580143,0.00054460950368806493,7.4722260391846506e-05,4.9975961230619305e-10,293.37417389961053,1073.7662428902979,99999.995231480279,100000.00499193775,-0.031704778861035059,0.031704778839401482,-0.091588970424317531,0.091588970421252691,0.99909703774779979,0.20977333808150606,0.3815751973598791,0.99590625127423071,3,2,1491048,23856768,0,0.01476394842925967,0.18008718580199048,1145124864
17,FLOW_INTENSITY__BC2_NOMINAL_v010__M1_108x36__C2,FLOW_INTENSITY,FLOW,BC2_NOMINAL_v010,M1_108x36,108,36,0.1,nominal_chemistry,10000000,5,1000,2,C2,complete,results/FLOW/BC2_NOMINAL_v010/M1_108x36/C2,56.881220608,0,FLOW_INTENSITY__BC2_NOMINAL_v010__M1_108x36__C2,RMT_FINAL,2,108,36,3888,108,36,16,500,2,20033,0.10000000000000001,-0.10000000000000001,10000000,5,1000,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,56.721181904000119,12.239983295000009,21.579210594934402,0.070619082999999999,56.793602761000002,20033,6136,0.30629461388708629,3,0.14995549938066949,2,377878.75614581577,28944.682050365431,6.0403005279035824,1.5984758152354964e-05,0.014445909234997624,294528,14.702141466580143,0.00054460950368806493,7.4722260391846561e-05,4.9975961230619388e-10,293.37417389961053,1073.7662428902979,99999.995231480279,100000.00499193775,-0.031704778861035059,0.031704778839401482,-0.091588970424317531,0.091588970421252691,0.99909703774779979,0.20977333808150606,0.3815751973598791,0.99590625127423071,3,2,1491048,23856768,0,0.01476394842925967,0.18008718580199048,1145124864
18,FLOW_INTENSITY__BC2_NOMINAL_v010__M1_108x36__C4,FLOW_INTENSITY,FLOW,BC2_NOMINAL_v010,M1_108x36,108,36,0.1,nominal_chemistry,10000000,5,1000,4,C4,complete,results/FLOW/BC2_NOMINAL_v010/M1_108x36/C4,33.734794752,0,FLOW_INTENSITY__BC2_NOMINAL_v010__M1_108x36__C4,RMT_FINAL,4,108,36,3888,108,36,16,500,2,20033,0.10000000000000001,-0.10000000000000001,10000000,5,1000,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,33.566528292000051,7.1352445260000303,21.257022662366253,0.070528217000000004,33.638842283000002,20033,6136,0.30629461388708629,3,0.14995549938066949,2,377878.75614581577,28944.682050365431,6.0403005279035824,1.5984758152354964e-05,0.014445909234997624,294528,14.702141466580143,0.00054460950368806493,7.4722260391846574e-05,4.9975961230619388e-10,293.37417389961053,1073.7662428902979,99999.995231480279,100000.00499193775,-0.031704778861035059,0.031704778839401482,-0.091588970424317531,0.091588970421252691,0.99909703774779979,0.20977333808150606,0.3815751973598791,0.99590625127423071,3,2,1491048,23856768,0,0.01476394842925967,0.18008718580199048,1145124864
19,FLOW_INTENSITY__BC2_NOMINAL_v010__M1_108x36__C16,FLOW_INTENSITY,FLOW,BC2_NOMINAL_v010,M1_108x36,108,36,0.1,nominal_chemistry,10000000,5,1000,16,C16,complete,results/FLOW/BC2_NOMINAL_v010/M1_108x36/C16,22.547653888,0,FLOW_INTENSITY__BC2_NOMINAL_v010__M1_108x36__C16,RMT_FINAL,16,108,36,3888,108,36,16,500,2,20033,0.10000000000000001,-0.10000000000000001,10000000,5,1000,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,22.390951813999976,4.390964147999985,19.610439897666737,0.069970853,22.464993936999999,20033,6136,0.30629461388708629,3,0.14995549938066949,2,377878.75614581577,28944.682050365431,6.0403005279035824,1.5984758152354964e-05,0.014445909234997624,294528,14.702141466580143,0.00054460950368806493,7.4722260391846574e-05,4.9975961230619336e-10,293.37417389961053,1073.7662428902979,99999.995231480279,100000.00499193775,-0.031704778861035059,0.031704778839401482,-0.091588970424317531,0.091588970421252691,0.99909703774779979,0.20977333808150606,0.3815751973598791,0.99590625127423071,3,2,1491048,23856768,0,0.01476394842925967,0.18008718580199048,1145124864
