array_index,case_id,study_family,group_dir,physical_case,mesh_name,Nx,Ny,velocity_m_per_s,stiffness_class,A,beta,Ta_K,threads,core_label,solver,cells,level0_Nx,level0_Ny,rbgs_omega,rbgs_max_sweeps,final_time_s,time_steps,vFuel_m_per_s,vOx_m_per_s,HfF_J_per_kg,rho_kg_per_m3,mu_Pa_s,cp_J_per_kgK,Pr,Sc,compute_time_s,pressure_time_s,pressure_fraction_pct,output_time_s,total_wall_s,pressure_solves,total_rbgs_sweeps,avg_rbgs_sweeps_per_pressure_solve,max_rbgs_sweeps_per_pressure_solve,mean_pressure_convergence_factor,final_pressure_sweeps,final_pressure_rhs_norm,final_pressure_initial_residual,final_pressure_abs_residual,final_pressure_rel_residual,final_pressure_convergence_factor,equivalent_fine_grid_smoothing_sweeps,equivalent_fine_grid_smoothing_sweeps_per_pressure_solve,mass_residual_max,mass_residual_l2,mass_residual_integral,Tmin_K,Tmax_K,pmin_Pa,pmax_Pa,umin_m_per_s,umax_m_per_s,vmin_m_per_s,vmax_m_per_s,YFmax,YOmax,YPmax,YN2max,run_complete,run_failed,node,job_id,launcher_wall_seconds
10,FLOW_INTENSITY__BC1_LOW_v005__M3_432x144__C4,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M3_432x144,432,144,0.05,nominal_chemistry,10000000,5,1000,4,C4,SG_RBGS,62208,432,144,1,500000,2,48534,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,1001.2883098440051,93.029103089001794,9.2909406985381864,0.59446492399999984,1001.892833366,48534,606427,12.494890180079944,114522,0.99206619227331649,331,7611954.2511779973,4545954.2550842473,760.66526422803861,9.9930351540187057e-05,0.97407151074710063,606427,12.494890180079944,0.0096109834374540348,0.0025950915808361998,-1.1023221681117298e-08,293.38937201326991,930.71855514776519,99999.992620104837,100000.00650427965,-0.014313849007102792,0.014313849007102792,-0.050819612791475191,0.050819612791475191,0.99924931687540641,0.20980086120987501,0.32407127210559034,0.83351705851356739,1,0,orfoz172,6300287,1001.983037184
11,FLOW_INTENSITY__BC1_LOW_v005__M3_432x144__C16,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M3_432x144,432,144,0.05,nominal_chemistry,10000000,5,1000,16,C16,SG_RBGS,62208,432,144,1,500000,2,48534,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,323.13432612400192,43.794279571999844,13.552964210677484,0.58767735099999996,323.73260140999997,48534,606427,12.494890180079944,114522,0.99206619227331649,331,7611954.2511779973,4545954.2550842473,760.66526422803861,9.9930351540187057e-05,0.97407151074710063,606427,12.494890180079944,0.0096109834374540348,0.002595091580836198,-1.1023221681116972e-08,293.38937201326991,930.71855514776519,99999.992620104837,100000.00650427965,-0.014313849007102792,0.014313849007102792,-0.050819612791475191,0.050819612791475191,0.99924931687540641,0.20980086120987501,0.32407127210559034,0.83351705851356739,1,0,orfoz172,6300288,323.817282048
12,FLOW_INTENSITY__BC1_LOW_v005__M4_864x288__C1,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M4_864x288,864,288,0.05,nominal_chemistry,10000000,5,1000,1,C1,SG_RBGS,248832,864,288,1,500000,2,194042,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,60913.287225114051,9213.4838261153363,15.125573164464997,2.334603354,60915.958132478001,194042,4988706,25.70941342595933,394939,0.99727214628079519,103,37327000.763134807,13149612.513134807,3730.9441345181085,9.9952957865366283e-05,0.92376646480164182,4988706,25.70941342595933,0.021094103165890887,0.0040582341162761692,-2.7520455202169143e-07,293.19818654714288,922.47064093929498,99999.989867634969,100000.00855803533,-0.014289711424136497,0.014289711424136497,-0.050445261268137705,0.050445261268137705,0.99960194552861192,0.2098950276590576,0.32071715220558772,0.83646026481138824,1,0,orfoz172,6300295,60916.063908352
13,FLOW_INTENSITY__BC1_LOW_v005__M4_864x288__C2,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M4_864x288,864,288,0.05,nominal_chemistry,10000000,5,1000,2,C2,SG_RBGS,248832,864,288,1,500000,2,194042,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,30844.587984934533,4710.1839860668069,15.270698342177269,2.3189289420000003,30847.091053434,194042,4988706,25.70941342595933,394939,0.99727214628079519,103,37327000.763134807,13149612.513134807,3730.9441345181085,9.9952957865366283e-05,0.92376646480164182,4988706,25.70941342595933,0.021094103165890887,0.0040582341162762386,-2.7520455202169688e-07,293.19818654714288,922.47064093929498,99999.989867634969,100000.00855803533,-0.014289711424136497,0.014289711424136497,-0.050445261268137705,0.050445261268137705,0.99960194552861192,0.2098950276590576,0.32071715220558772,0.83646026481138824,1,0,orfoz184,6300296,30847.225332224
14,FLOW_INTENSITY__BC1_LOW_v005__M4_864x288__C4,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M4_864x288,864,288,0.05,nominal_chemistry,10000000,5,1000,4,C4,SG_RBGS,248832,864,288,1,500000,2,194042,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,15879.347940838928,2535.9599577969943,15.970176906791904,2.3253778880000002,15881.77868874,194042,4988706,25.70941342595933,394939,0.99727214628079519,103,37327000.763134807,13149612.513134807,3730.9441345181085,9.9952957865366283e-05,0.92376646480164182,4988706,25.70941342595933,0.021094103165890887,0.0040582341162762586,-2.7520455202169587e-07,293.19818654714288,922.47064093929498,99999.989867634969,100000.00855803533,-0.014289711424136497,0.014289711424136497,-0.050445261268137705,0.050445261268137705,0.99960194552861192,0.2098950276590576,0.32071715220558772,0.83646026481138824,1,0,orfoz194,6300301,15881.885803008
15,FLOW_INTENSITY__BC1_LOW_v005__M4_864x288__C16,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M4_864x288,864,288,0.05,nominal_chemistry,10000000,5,1000,16,C16,SG_RBGS,248832,864,288,1,500000,2,194042,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,4643.9184356600026,906.41196244693128,19.518257587961067,2.3271574070000001,4646.3118952260002,194042,4988706,25.70941342595933,394939,0.99727214628079519,103,37327000.763134807,13149612.513134807,3730.9441345181085,9.9952957865366283e-05,0.92376646480164182,4988706,25.70941342595933,0.021094103165890887,0.0040582341162762733,-2.7520455202169603e-07,293.19818654714288,922.47064093929498,99999.989867634969,100000.00855803533,-0.014289711424136497,0.014289711424136497,-0.050445261268137705,0.050445261268137705,0.99960194552861192,0.2098950276590576,0.32071715220558772,0.83646026481138824,1,0,orfoz194,6300674,4646.460357120
16,FLOW_INTENSITY__BC2_NOMINAL_v010__M1_108x36__C1,FLOW_INTENSITY,FLOW,BC2_NOMINAL_v010,M1_108x36,108,36,0.1,nominal_chemistry,10000000,5,1000,1,C1,SG_RBGS,3888,108,36,1,500000,2,20033,0.10000000000000001,-0.10000000000000001,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,81.843283811999655,1.517424678000006,1.854061332003305,0.069243245000000009,81.914515565000002,20033,36506,1.822293216193281,8963,0.4752485464340806,32,377873.17804643488,28937.278022020822,37.081220033927821,9.8131389546180224e-05,0.81211121977834133,36506,1.822293216193281,0.003343343875982896,0.00023371967410514328,2.8949923865679439e-09,293.37417503946551,1073.7657429624915,99999.995281712545,100000.00505114102,-0.03170525427195213,0.03170525427195213,-0.091589487773468758,0.091589487773468758,0.99909748812500132,0.20977343247755365,0.38157484996401769,0.99590625537754751,1,0,orfoz194,6300914,82.016536576
17,FLOW_INTENSITY__BC2_NOMINAL_v010__M1_108x36__C2,FLOW_INTENSITY,FLOW,BC2_NOMINAL_v010,M1_108x36,108,36,0.1,nominal_chemistry,10000000,5,1000,2,C2,SG_RBGS,3888,108,36,1,500000,2,20033,0.10000000000000001,-0.10000000000000001,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,45.329850435000274,1.1519922899999941,2.5413547120608038,0.069399732000000006,45.400835569000002,20033,36506,1.822293216193281,8963,0.4752485464340806,32,377873.17804643488,28937.278022020822,37.081220033927821,9.8131389546180224e-05,0.81211121977834133,36506,1.822293216193281,0.003343343875982896,0.00023371967410514287,2.8949923865679419e-09,293.37417503946551,1073.7657429624915,99999.995281712545,100000.00505114102,-0.03170525427195213,0.03170525427195213,-0.091589487773468758,0.091589487773468758,0.99909748812500132,0.20977343247755365,0.38157484996401769,0.99590625537754751,1,0,orfoz194,6300925,45.465270528
18,FLOW_INTENSITY__BC2_NOMINAL_v010__M1_108x36__C4,FLOW_INTENSITY,FLOW,BC2_NOMINAL_v010,M1_108x36,108,36,0.1,nominal_chemistry,10000000,5,1000,4,C4,SG_RBGS,3888,108,36,1,500000,2,20033,0.10000000000000001,-0.10000000000000001,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,26.857893133000207,0.94147931500000237,3.5054101613175672,0.068536331000000006,26.927983124000001,20033,36506,1.822293216193281,8963,0.4752485464340806,32,377873.17804643488,28937.278022020822,37.081220033927821,9.8131389546180224e-05,0.81211121977834133,36506,1.822293216193281,0.003343343875982896,0.00023371967410514295,2.8949923865679415e-09,293.37417503946551,1073.7657429624915,99999.995281712545,100000.00505114102,-0.03170525427195213,0.03170525427195213,-0.091589487773468758,0.091589487773468758,0.99909748812500132,0.20977343247755365,0.38157484996401769,0.99590625537754751,1,0,orfoz194,6300927,27.020099584
19,FLOW_INTENSITY__BC2_NOMINAL_v010__M1_108x36__C16,FLOW_INTENSITY,FLOW,BC2_NOMINAL_v010,M1_108x36,108,36,0.1,nominal_chemistry,10000000,5,1000,16,C16,SG_RBGS,3888,108,36,1,500000,2,20033,0.10000000000000001,-0.10000000000000001,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,19.258850150999908,1.2939423369999972,6.7186894692818226,0.069923384000000005,19.332683847999999,20033,36506,1.822293216193281,8963,0.4752485464340806,32,377873.17804643488,28937.278022020822,37.081220033927821,9.8131389546180224e-05,0.81211121977834133,36506,1.822293216193281,0.003343343875982896,0.00023371967410514298,2.8949923865679394e-09,293.37417503946551,1073.7657429624915,99999.995281712545,100000.00505114102,-0.03170525427195213,0.03170525427195213,-0.091589487773468758,0.091589487773468758,0.99909748812500132,0.20977343247755365,0.38157484996401769,0.99590625537754751,1,0,orfoz194,6300930,19.413776128
