case_id,relative_path,study_family,physical_case,case_label,inlet_speed_m_per_s,stiffness_class,A,beta,Ta_K,fuel_Hf_J_per_kg,mesh_name,Nx,Ny,cells,nprocs,x_left_cells,slot_cells,x_right_cells,status,node,solver_exit_code,openfoam_version,mpi_library,solver_wall_s,setup_wall_s,reconstruct_wall_s,total_case_wall_s,final_time,foam_execution_s,foam_clock_s,final_maxCo
REACTION_STIFFNESS__S1_LOW_A1e7_Ta1000__M3_432x144__C2,cases/STIFFNESS/S1_LOW_A1e7_Ta1000/M3_432x144/C2,REACTION_STIFFNESS,S1_LOW_A1e7_Ta1000,low_reaction_rate,0.1,low,1.0e7,5,1000,3.571428571e6,M3_432x144,432,144,62208,2,196,40,196,complete,orfoz223,0,v2312,INTELMPI,7423.313826816,5.088714752,3.998470144,7432.539965184,2,7378.52,7402,0.05000026188
REACTION_STIFFNESS__S1_LOW_A1e7_Ta1000__M3_432x144__C4,cases/STIFFNESS/S1_LOW_A1e7_Ta1000/M3_432x144/C4,REACTION_STIFFNESS,S1_LOW_A1e7_Ta1000,low_reaction_rate,0.1,low,1.0e7,5,1000,3.571428571e6,M3_432x144,432,144,62208,4,196,40,196,complete,orfoz223,0,v2312,INTELMPI,4053.286554112,2.447750144,3.530927360,4059.406866944,2,4019.34,4038,0.05000026187
REACTION_STIFFNESS__S1_LOW_A1e7_Ta1000__M3_432x144__C16,cases/STIFFNESS/S1_LOW_A1e7_Ta1000/M3_432x144/C16,REACTION_STIFFNESS,S1_LOW_A1e7_Ta1000,low_reaction_rate,0.1,low,1.0e7,5,1000,3.571428571e6,M3_432x144,432,144,62208,16,196,40,196,complete,orfoz223,0,v2312,INTELMPI,2288.070393856,2.370161408,2.062716416,2292.623515648,2,2262.8,2275,0.05000026187
REACTION_STIFFNESS__S1_LOW_A1e7_Ta1000__M4_864x288__C1,cases/STIFFNESS/S1_LOW_A1e7_Ta1000/M4_864x288/C1,REACTION_STIFFNESS,S1_LOW_A1e7_Ta1000,low_reaction_rate,0.1,low,1.0e7,5,1000,3.571428571e6,M4_864x288,864,288,248832,1,392,80,392,complete,orfoz223,0,v2312,INTELMPI,125504.420984832,3.277761024,0.007534848,125507.918532608,2,125132.67,125496,0.05000045802
REACTION_STIFFNESS__S1_LOW_A1e7_Ta1000__M4_864x288__C2,cases/STIFFNESS/S1_LOW_A1e7_Ta1000/M4_864x288/C2,REACTION_STIFFNESS,S1_LOW_A1e7_Ta1000,low_reaction_rate,0.1,low,1.0e7,5,1000,3.571428571e6,M4_864x288,864,288,248832,2,392,80,392,complete,orfoz223,0,v2312,INTELMPI,61303.121518592,7.236107264,3.332830464,61313.896182528,2,61096.64,61293,0.050000458
REACTION_STIFFNESS__S1_LOW_A1e7_Ta1000__M4_864x288__C4,cases/STIFFNESS/S1_LOW_A1e7_Ta1000/M4_864x288/C4,REACTION_STIFFNESS,S1_LOW_A1e7_Ta1000,low_reaction_rate,0.1,low,1.0e7,5,1000,3.571428571e6,M4_864x288,864,288,248832,4,392,80,392,complete,orfoz223,0,v2312,INTELMPI,30651.608387328,4.613344000,2.610354176,30659.037647616,2,30542.82,30642,0.05000045784
REACTION_STIFFNESS__S1_LOW_A1e7_Ta1000__M4_864x288__C16,cases/STIFFNESS/S1_LOW_A1e7_Ta1000/M4_864x288/C16,REACTION_STIFFNESS,S1_LOW_A1e7_Ta1000,low_reaction_rate,0.1,low,1.0e7,5,1000,3.571428571e6,M4_864x288,864,288,248832,16,392,80,392,complete,orfoz223,0,v2312,INTELMPI,9785.190422016,4.655546880,3.215505664,9793.258048768,2,9742.25,9775,0.05000045664
REACTION_STIFFNESS__S2_INTERMEDIATE_A1e8_Ta500__M1_108x36__C1,cases/STIFFNESS/S2_INTERMEDIATE_A1e8_Ta500/M1_108x36/C1,REACTION_STIFFNESS,S2_INTERMEDIATE_A1e8_Ta500,intermediate_reaction_rate,0.1,intermediate,1.0e8,5,500,3.571428571e6,M1_108x36,108,36,3888,1,49,10,49,complete,orfoz194,0,v2312,INTELMPI,496.524927744,2.600558336,0.005500672,499.211452160,2,491.16,492,0.02404481339
REACTION_STIFFNESS__S2_INTERMEDIATE_A1e8_Ta500__M1_108x36__C2,cases/STIFFNESS/S2_INTERMEDIATE_A1e8_Ta500/M1_108x36/C2,REACTION_STIFFNESS,S2_INTERMEDIATE_A1e8_Ta500,intermediate_reaction_rate,0.1,intermediate,1.0e8,5,500,3.571428571e6,M1_108x36,108,36,3888,2,49,10,49,complete,orfoz194,0,v2312,INTELMPI,382.170266880,1.362844416,0.469325568,384.073861120,2,378.84,380,0.02404481338
REACTION_STIFFNESS__S2_INTERMEDIATE_A1e8_Ta500__M1_108x36__C4,cases/STIFFNESS/S2_INTERMEDIATE_A1e8_Ta500/M1_108x36/C4,REACTION_STIFFNESS,S2_INTERMEDIATE_A1e8_Ta500,intermediate_reaction_rate,0.1,intermediate,1.0e8,5,500,3.571428571e6,M1_108x36,108,36,3888,4,49,10,49,complete,orfoz194,0,v2312,INTELMPI,414.650787328,0.266762496,0.142080512,415.132522496,2,412.2,413,0.0240448134
REACTION_STIFFNESS__S2_INTERMEDIATE_A1e8_Ta500__M1_108x36__C16,cases/STIFFNESS/S2_INTERMEDIATE_A1e8_Ta500/M1_108x36/C16,REACTION_STIFFNESS,S2_INTERMEDIATE_A1e8_Ta500,intermediate_reaction_rate,0.1,intermediate,1.0e8,5,500,3.571428571e6,M1_108x36,108,36,3888,16,49,10,49,complete,orfoz194,0,v2312,INTELMPI,903.278730240,0.427731456,0.456430848,904.234077440,2,899.06,902,0.02404481339
REACTION_STIFFNESS__S2_INTERMEDIATE_A1e8_Ta500__M2_216x72__C1,cases/STIFFNESS/S2_INTERMEDIATE_A1e8_Ta500/M2_216x72/C1,REACTION_STIFFNESS,S2_INTERMEDIATE_A1e8_Ta500,intermediate_reaction_rate,0.1,intermediate,1.0e8,5,500,3.571428571e6,M2_216x72,216,72,15552,1,98,20,98,complete,orfoz194,0,v2312,INTELMPI,1795.792533504,0.297841408,0.007435520,1796.323249408,2,1789.6,1795,0.05000023497
REACTION_STIFFNESS__S2_INTERMEDIATE_A1e8_Ta500__M2_216x72__C2,cases/STIFFNESS/S2_INTERMEDIATE_A1e8_Ta500/M2_216x72/C2,REACTION_STIFFNESS,S2_INTERMEDIATE_A1e8_Ta500,intermediate_reaction_rate,0.1,intermediate,1.0e8,5,500,3.571428571e6,M2_216x72,216,72,15552,2,98,20,98,complete,orfoz194,0,v2312,INTELMPI,1063.942589440,1.331405312,1.034100224,1066.502188544,2,1056.06,1060,0.05000023499
REACTION_STIFFNESS__S2_INTERMEDIATE_A1e8_Ta500__M2_216x72__C4,cases/STIFFNESS/S2_INTERMEDIATE_A1e8_Ta500/M2_216x72/C4,REACTION_STIFFNESS,S2_INTERMEDIATE_A1e8_Ta500,intermediate_reaction_rate,0.1,intermediate,1.0e8,5,500,3.571428571e6,M2_216x72,216,72,15552,4,98,20,98,complete,orfoz194,0,v2312,INTELMPI,781.390017024,0.546234624,0.164193024,782.188094208,2,777.87,780,0.05000023497
REACTION_STIFFNESS__S2_INTERMEDIATE_A1e8_Ta500__M2_216x72__C16,cases/STIFFNESS/S2_INTERMEDIATE_A1e8_Ta500/M2_216x72/C16,REACTION_STIFFNESS,S2_INTERMEDIATE_A1e8_Ta500,intermediate_reaction_rate,0.1,intermediate,1.0e8,5,500,3.571428571e6,M2_216x72,216,72,15552,16,98,20,98,complete,orfoz194,0,v2312,INTELMPI,945.393950976,0.586795776,0.645053184,946.716450560,2,938.26,942,0.05000023494
REACTION_STIFFNESS__S2_INTERMEDIATE_A1e8_Ta500__M3_432x144__C1,cases/STIFFNESS/S2_INTERMEDIATE_A1e8_Ta500/M3_432x144/C1,REACTION_STIFFNESS,S2_INTERMEDIATE_A1e8_Ta500,intermediate_reaction_rate,0.1,intermediate,1.0e8,5,500,3.571428571e6,M3_432x144,432,144,62208,1,196,40,196,complete,orfoz194,0,v2312,INTELMPI,14450.056204288,0.871353088,0.007304192,14451.070631168,2,14402.53,14442,0.05000026191
REACTION_STIFFNESS__S2_INTERMEDIATE_A1e8_Ta500__M3_432x144__C2,cases/STIFFNESS/S2_INTERMEDIATE_A1e8_Ta500/M3_432x144/C2,REACTION_STIFFNESS,S2_INTERMEDIATE_A1e8_Ta500,intermediate_reaction_rate,0.1,intermediate,1.0e8,5,500,3.571428571e6,M3_432x144,432,144,62208,2,196,40,196,complete,orfoz194,0,v2312,INTELMPI,7487.218457856,4.847253760,2.689455360,7494.896856832,2,7452.99,7478,0.05000026191
REACTION_STIFFNESS__S2_INTERMEDIATE_A1e8_Ta500__M3_432x144__C4,cases/STIFFNESS/S2_INTERMEDIATE_A1e8_Ta500/M3_432x144/C4,REACTION_STIFFNESS,S2_INTERMEDIATE_A1e8_Ta500,intermediate_reaction_rate,0.1,intermediate,1.0e8,5,500,3.571428571e6,M3_432x144,432,144,62208,4,196,40,196,complete,orfoz194,0,v2312,INTELMPI,4228.580573696,2.090700032,3.172383744,4233.987484160,2,4204,4218,0.05000026189
REACTION_STIFFNESS__S2_INTERMEDIATE_A1e8_Ta500__M3_432x144__C16,cases/STIFFNESS/S2_INTERMEDIATE_A1e8_Ta500/M3_432x144/C16,REACTION_STIFFNESS,S2_INTERMEDIATE_A1e8_Ta500,intermediate_reaction_rate,0.1,intermediate,1.0e8,5,500,3.571428571e6,M3_432x144,432,144,62208,16,196,40,196,complete,orfoz194,0,v2312,INTELMPI,2708.429220096,3.233239296,0.451335680,2712.227653120,2,2695.73,2704,0.05000026188
REACTION_STIFFNESS__S2_INTERMEDIATE_A1e8_Ta500__M4_864x288__C1,cases/STIFFNESS/S2_INTERMEDIATE_A1e8_Ta500/M4_864x288/C1,REACTION_STIFFNESS,S2_INTERMEDIATE_A1e8_Ta500,intermediate_reaction_rate,0.1,intermediate,1.0e8,5,500,3.571428571e6,M4_864x288,864,288,248832,1,392,80,392,complete,orfoz226,0,v2312,INTELMPI,124481.075617024,8.448968192,0.007106560,124489.710086144,2,124107.41,124472,0.05000045802
REACTION_STIFFNESS__S2_INTERMEDIATE_A1e8_Ta500__M4_864x288__C2,cases/STIFFNESS/S2_INTERMEDIATE_A1e8_Ta500/M4_864x288/C2,REACTION_STIFFNESS,S2_INTERMEDIATE_A1e8_Ta500,intermediate_reaction_rate,0.1,intermediate,1.0e8,5,500,3.571428571e6,M4_864x288,864,288,248832,2,392,80,392,complete,orfoz226,0,v2312,INTELMPI,61495.976854528,6.093427456,2.460102656,61504.713264384,2,61286.68,61486,0.05000045799
REACTION_STIFFNESS__S2_INTERMEDIATE_A1e8_Ta500__M4_864x288__C4,cases/STIFFNESS/S2_INTERMEDIATE_A1e8_Ta500/M4_864x288/C4,REACTION_STIFFNESS,S2_INTERMEDIATE_A1e8_Ta500,intermediate_reaction_rate,0.1,intermediate,1.0e8,5,500,3.571428571e6,M4_864x288,864,288,248832,4,392,80,392,complete,orfoz226,0,v2312,INTELMPI,31037.775120384,4.522401536,2.554693376,31045.035998464,2,30925.55,31029,0.05000045783
REACTION_STIFFNESS__S2_INTERMEDIATE_A1e8_Ta500__M4_864x288__C16,cases/STIFFNESS/S2_INTERMEDIATE_A1e8_Ta500/M4_864x288/C16,REACTION_STIFFNESS,S2_INTERMEDIATE_A1e8_Ta500,intermediate_reaction_rate,0.1,intermediate,1.0e8,5,500,3.571428571e6,M4_864x288,864,288,248832,16,392,80,392,complete,orfoz226,0,v2312,INTELMPI,10547.832751616,4.579953152,2.766733824,10555.372679424,2,10501.98,10539,0.05000045665
REACTION_STIFFNESS__S3_HIGH_A1e9_Ta100__M1_108x36__C1,cases/STIFFNESS/S3_HIGH_A1e9_Ta100/M1_108x36/C1,REACTION_STIFFNESS,S3_HIGH_A1e9_Ta100,high_reaction_rate,0.1,high,1.0e9,5,100,3.571428571e6,M1_108x36,108,36,3888,1,49,10,49,complete,orfoz183,0,v2312,INTELMPI,508.777382912,4.404893440,0.005458432,513.264786432,2,501.36,503,0.02404481341
REACTION_STIFFNESS__S3_HIGH_A1e9_Ta100__M1_108x36__C2,cases/STIFFNESS/S3_HIGH_A1e9_Ta100/M1_108x36/C2,REACTION_STIFFNESS,S3_HIGH_A1e9_Ta100,high_reaction_rate,0.1,high,1.0e9,5,100,3.571428571e6,M1_108x36,108,36,3888,2,49,10,49,complete,orfoz183,0,v2312,INTELMPI,383.386356992,1.511137280,0.412289536,385.383128576,2,380.24,381,0.02404481339
REACTION_STIFFNESS__S3_HIGH_A1e9_Ta100__M1_108x36__C4,cases/STIFFNESS/S3_HIGH_A1e9_Ta100/M1_108x36/C4,REACTION_STIFFNESS,S3_HIGH_A1e9_Ta100,high_reaction_rate,0.1,high,1.0e9,5,100,3.571428571e6,M1_108x36,108,36,3888,4,49,10,49,complete,orfoz183,0,v2312,INTELMPI,363.061730560,0.265486592,0.141255424,363.540110336,2,360.69,361,0.0240448134
REACTION_STIFFNESS__S3_HIGH_A1e9_Ta100__M1_108x36__C16,cases/STIFFNESS/S3_HIGH_A1e9_Ta100/M1_108x36/C16,REACTION_STIFFNESS,S3_HIGH_A1e9_Ta100,high_reaction_rate,0.1,high,1.0e9,5,100,3.571428571e6,M1_108x36,108,36,3888,16,49,10,49,complete,orfoz183,0,v2312,INTELMPI,686.554901504,0.406428416,0.328528640,687.361325568,2,683.41,685,0.02404481339
REACTION_STIFFNESS__S3_HIGH_A1e9_Ta100__M2_216x72__C1,cases/STIFFNESS/S3_HIGH_A1e9_Ta100/M2_216x72/C1,REACTION_STIFFNESS,S3_HIGH_A1e9_Ta100,high_reaction_rate,0.1,high,1.0e9,5,100,3.571428571e6,M2_216x72,216,72,15552,1,98,20,98,complete,orfoz183,0,v2312,INTELMPI,1831.913016832,0.274812672,0.005428736,1832.264752896,2,1828.16,1832,0.05000023493
REACTION_STIFFNESS__S3_HIGH_A1e9_Ta100__M2_216x72__C2,cases/STIFFNESS/S3_HIGH_A1e9_Ta100/M2_216x72/C2,REACTION_STIFFNESS,S3_HIGH_A1e9_Ta100,high_reaction_rate,0.1,high,1.0e9,5,100,3.571428571e6,M2_216x72,216,72,15552,2,98,20,98,complete,orfoz183,0,v2312,INTELMPI,1072.195529216,0.397220608,0.393784320,1073.079924736,2,1066.85,1070,0.05000023496
REACTION_STIFFNESS__S3_HIGH_A1e9_Ta100__M2_216x72__C4,cases/STIFFNESS/S3_HIGH_A1e9_Ta100/M2_216x72/C4,REACTION_STIFFNESS,S3_HIGH_A1e9_Ta100,high_reaction_rate,0.1,high,1.0e9,5,100,3.571428571e6,M2_216x72,216,72,15552,4,98,20,98,complete,orfoz183,0,v2312,INTELMPI,720.161650176,0.422485248,0.163502592,720.833038848,2,716.68,718,0.05000023499
REACTION_STIFFNESS__S3_HIGH_A1e9_Ta100__M2_216x72__C16,cases/STIFFNESS/S3_HIGH_A1e9_Ta100/M2_216x72/C16,REACTION_STIFFNESS,S3_HIGH_A1e9_Ta100,high_reaction_rate,0.1,high,1.0e9,5,100,3.571428571e6,M2_216x72,216,72,15552,16,98,20,98,complete,orfoz183,0,v2312,INTELMPI,774.872048640,0.571014656,2.502914304,778.029979648,2,764.45,769,0.05000023496
REACTION_STIFFNESS__S3_HIGH_A1e9_Ta100__M3_432x144__C1,cases/STIFFNESS/S3_HIGH_A1e9_Ta100/M3_432x144/C1,REACTION_STIFFNESS,S3_HIGH_A1e9_Ta100,high_reaction_rate,0.1,high,1.0e9,5,100,3.571428571e6,M3_432x144,432,144,62208,1,196,40,196,complete,orfoz183,0,v2312,INTELMPI,14590.336690432,1.056384512,0.007116800,14591.529910016,2,14545.26,14584,0.0500002619
REACTION_STIFFNESS__S3_HIGH_A1e9_Ta100__M3_432x144__C2,cases/STIFFNESS/S3_HIGH_A1e9_Ta100/M3_432x144/C2,REACTION_STIFFNESS,S3_HIGH_A1e9_Ta100,high_reaction_rate,0.1,high,1.0e9,5,100,3.571428571e6,M3_432x144,432,144,62208,2,196,40,196,complete,orfoz183,0,v2312,INTELMPI,7548.336037376,4.016887552,2.414659072,7554.902171392,2,7516.74,7540,0.05000026193
REACTION_STIFFNESS__S3_HIGH_A1e9_Ta100__M3_432x144__C4,cases/STIFFNESS/S3_HIGH_A1e9_Ta100/M3_432x144/C4,REACTION_STIFFNESS,S3_HIGH_A1e9_Ta100,high_reaction_rate,0.1,high,1.0e9,5,100,3.571428571e6,M3_432x144,432,144,62208,4,196,40,196,complete,orfoz183,0,v2312,INTELMPI,4164.454788352,1.804729344,2.353664000,4168.753313792,2,4140.61,4156,0.05000026186
REACTION_STIFFNESS__S3_HIGH_A1e9_Ta100__M3_432x144__C16,cases/STIFFNESS/S3_HIGH_A1e9_Ta100/M3_432x144/C16,REACTION_STIFFNESS,S3_HIGH_A1e9_Ta100,high_reaction_rate,0.1,high,1.0e9,5,100,3.571428571e6,M3_432x144,432,144,62208,16,196,40,196,complete,orfoz183,0,v2312,INTELMPI,2410.752766720,2.077817344,0.428845824,2413.373721856,2,2400.46,2407,0.05000026191
REACTION_STIFFNESS__S3_HIGH_A1e9_Ta100__M4_864x288__C1,cases/STIFFNESS/S3_HIGH_A1e9_Ta100/M4_864x288/C1,REACTION_STIFFNESS,S3_HIGH_A1e9_Ta100,high_reaction_rate,0.1,high,1.0e9,5,100,3.571428571e6,M4_864x288,864,288,248832,1,392,80,392,complete,orfoz223,0,v2312,INTELMPI,126920.432495104,3.267695104,0.007298304,126923.908119808,2,126571.33,126913,0.05000045802
REACTION_STIFFNESS__S3_HIGH_A1e9_Ta100__M4_864x288__C2,cases/STIFFNESS/S3_HIGH_A1e9_Ta100/M4_864x288/C2,REACTION_STIFFNESS,S3_HIGH_A1e9_Ta100,high_reaction_rate,0.1,high,1.0e9,5,100,3.571428571e6,M4_864x288,864,288,248832,2,392,80,392,complete,orfoz223,0,v2312,INTELMPI,62098.700796416,6.112678400,2.286281472,62107.301246464,2,61897.88,62090,0.050000458
REACTION_STIFFNESS__S3_HIGH_A1e9_Ta100__M4_864x288__C4,cases/STIFFNESS/S3_HIGH_A1e9_Ta100/M4_864x288/C4,REACTION_STIFFNESS,S3_HIGH_A1e9_Ta100,high_reaction_rate,0.1,high,1.0e9,5,100,3.571428571e6,M4_864x288,864,288,248832,4,392,80,392,complete,orfoz223,0,v2312,INTELMPI,30989.875112960,4.615946752,2.497609984,30997.191833344,2,30884.71,30980,0.05000045783
REACTION_STIFFNESS__S3_HIGH_A1e9_Ta100__M4_864x288__C16,cases/STIFFNESS/S3_HIGH_A1e9_Ta100/M4_864x288/C16,REACTION_STIFFNESS,S3_HIGH_A1e9_Ta100,high_reaction_rate,0.1,high,1.0e9,5,100,3.571428571e6,M4_864x288,864,288,248832,16,392,80,392,complete,orfoz223,0,v2312,INTELMPI,9997.804576256,4.767138816,2.757786112,10005.530967552,2,9956,9988,0.05000045666
