case_id,relative_path,study_family,physical_case,case_label,inlet_speed_m_per_s,stiffness_class,A,beta,Ta_K,fuel_Hf_J_per_kg,mesh_name,Nx,Ny,cells,nprocs,x_left_cells,slot_cells,x_right_cells,status,node,solver_exit_code,openfoam_version,mpi_library,solver_wall_s,setup_wall_s,reconstruct_wall_s,total_case_wall_s,final_time,foam_execution_s,foam_clock_s,final_maxCo
FLOW_INTENSITY__BC1_LOW_v005__M4_864x288__C4,cases/FLOW/BC1_LOW_v005/M4_864x288/C4,FLOW_INTENSITY,BC1_LOW_v005,low_flow,0.05,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M4_864x288,864,288,248832,4,392,80,392,complete,orfoz234,0,v2312,INTELMPI,16431.539027968,4.445400576,3.716331520,16439.846852608,2,16355.35,16413,0.04999895626
FLOW_INTENSITY__BC1_LOW_v005__M4_864x288__C16,cases/FLOW/BC1_LOW_v005/M4_864x288/C16,FLOW_INTENSITY,BC1_LOW_v005,low_flow,0.05,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M4_864x288,864,288,248832,16,392,80,392,complete,orfoz234,0,v2312,INTELMPI,5613.450295552,4.552640768,3.995001088,5622.146278912,2,5565.81,5589,0.04999895479
FLOW_INTENSITY__BC2_NOMINAL_v010__M1_108x36__C1,cases/FLOW/BC2_NOMINAL_v010/M1_108x36/C1,FLOW_INTENSITY,BC2_NOMINAL_v010,intermediate_flow,0.1,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M1_108x36,108,36,3888,1,49,10,49,complete,orfoz192,0,v2312,INTELMPI,485.909364224,3.348797184,0.007280128,489.358794240,2,476.99,479,0.0240448134
FLOW_INTENSITY__BC2_NOMINAL_v010__M1_108x36__C2,cases/FLOW/BC2_NOMINAL_v010/M1_108x36/C2,FLOW_INTENSITY,BC2_NOMINAL_v010,intermediate_flow,0.1,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M1_108x36,108,36,3888,2,49,10,49,complete,orfoz192,0,v2312,INTELMPI,369.918503168,2.104018688,0.729540864,372.841554944,2,367.16,368,0.0240448134
FLOW_INTENSITY__BC2_NOMINAL_v010__M1_108x36__C4,cases/FLOW/BC2_NOMINAL_v010/M1_108x36/C4,FLOW_INTENSITY,BC2_NOMINAL_v010,intermediate_flow,0.1,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M1_108x36,108,36,3888,4,49,10,49,complete,orfoz192,0,v2312,INTELMPI,399.164776448,0.276549632,0.153090048,399.680712192,2,397.26,398,0.02404481339
FLOW_INTENSITY__BC2_NOMINAL_v010__M1_108x36__C16,cases/FLOW/BC2_NOMINAL_v010/M1_108x36/C16,FLOW_INTENSITY,BC2_NOMINAL_v010,intermediate_flow,0.1,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M1_108x36,108,36,3888,16,49,10,49,complete,orfoz192,0,v2312,INTELMPI,903.890700800,0.440593152,0.331130624,904.749375232,2,899.86,903,0.02404481339
FLOW_INTENSITY__BC2_NOMINAL_v010__M2_216x72__C1,cases/FLOW/BC2_NOMINAL_v010/M2_216x72/C1,FLOW_INTENSITY,BC2_NOMINAL_v010,intermediate_flow,0.1,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M2_216x72,216,72,15552,1,98,20,98,complete,orfoz192,0,v2312,INTELMPI,1767.054138112,0.282706944,0.007618816,1767.437673984,2,1761.04,1765,0.05000023496
FLOW_INTENSITY__BC2_NOMINAL_v010__M2_216x72__C2,cases/FLOW/BC2_NOMINAL_v010/M2_216x72/C2,FLOW_INTENSITY,BC2_NOMINAL_v010,intermediate_flow,0.1,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M2_216x72,216,72,15552,2,98,20,98,complete,orfoz192,0,v2312,INTELMPI,1045.267818240,1.771770880,0.675163136,1047.803008512,2,1038.64,1042,0.05000023496
FLOW_INTENSITY__BC2_NOMINAL_v010__M2_216x72__C4,cases/FLOW/BC2_NOMINAL_v010/M2_216x72/C4,FLOW_INTENSITY,BC2_NOMINAL_v010,intermediate_flow,0.1,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M2_216x72,216,72,15552,4,98,20,98,complete,orfoz192,0,v2312,INTELMPI,732.683532288,0.598304768,0.167741440,733.536901120,2,729.6,731,0.05000023498
FLOW_INTENSITY__BC2_NOMINAL_v010__M2_216x72__C16,cases/FLOW/BC2_NOMINAL_v010/M2_216x72/C16,FLOW_INTENSITY,BC2_NOMINAL_v010,intermediate_flow,0.1,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M2_216x72,216,72,15552,16,98,20,98,complete,orfoz192,0,v2312,INTELMPI,1021.254986496,0.583766016,0.716107264,1022.641613824,2,1008.53,1017,0.05000023496
