array_index,case_id,study_family,group_dir,physical_case,mesh_name,Nx,Ny,velocity_m_per_s,stiffness_class,A,beta,Ta_K,threads,core_label,solver,cells,level0_Nx,level0_Ny,level1_Nx,level1_Ny,level2_Nx,level2_Ny,mg_pre_sweeps,mg_post_sweeps,mg_coarse_sweeps,mg_omega,final_time_s,time_steps,vFuel_m_per_s,vOx_m_per_s,HfF_J_per_kg,rho_kg_per_m3,mu_Pa_s,cp_J_per_kgK,Pr,Sc,compute_time_s,pressure_time_s,pressure_fraction_pct,output_time_s,total_wall_s,pressure_solves,total_wcycles,avg_wcycles_per_pressure_solve,max_wcycles_per_pressure_solve,mean_pressure_convergence_factor,final_pressure_cycles,final_pressure_rhs_norm,final_pressure_initial_residual,final_pressure_abs_residual,final_pressure_rel_residual,final_pressure_convergence_factor,restrictions,prolongations,fine_pre_sweeps,fine_post_sweeps,level1_pre_sweeps,level1_post_sweeps,coarse_sweeps,equivalent_fine_grid_smoothing_sweeps,equivalent_fine_grid_smoothing_sweeps_per_pressure_solve,mass_residual_max,mass_residual_l2,mass_residual_integral,Tmin_K,Tmax_K,pmin_Pa,pmax_Pa,umin_m_per_s,umax_m_per_s,vmin_m_per_s,vmax_m_per_s,YFmax,YOmax,YPmax,YN2max,run_complete,run_failed,node,job_id,launcher_wall_seconds
10,FLOW_INTENSITY__BC1_LOW_v005__M3_432x144__C4,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M3_432x144,432,144,0.05,nominal_chemistry,10000000,5,1000,4,C4,MG2W_3LEVEL,62208,432,144,216,72,108,36,3,3,40,1,2,48534,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,951.08325633599941,41.824787168999912,4.3975947310993373,0.5911037990000001,951.686738332,48534,24474,0.50426505130424037,88,0.042240169239751456,5,7612104.8610684294,4546164.5622403044,197.00413762032986,2.5880376218658463e-05,0.13408062912681809,73422,73422,73422,73422,146844,146844,1957920,342636,7.0597107182593648,0.0024892790375355411,7.61159441034138e-05,1.4730728945901753e-11,293.38937652425494,930.7135460402709,99999.992529911993,100000.00641368791,-0.014314385571954465,0.01431437971188707,-0.0508193276383343,0.050819328207418975,0.99925031306618783,0.20980106997527878,0.32406883380213353,0.83351748678622928,1,0,orfoz261,6266825,952.037831680
11,FLOW_INTENSITY__BC1_LOW_v005__M3_432x144__C16,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M3_432x144,432,144,0.05,nominal_chemistry,10000000,5,1000,16,C16,MG2W_3LEVEL,62208,432,144,216,72,108,36,3,3,40,1,2,48534,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,317.97491632399914,35.633233557000139,11.20630330497259,0.58504290599999997,318.56980662699999,48534,24474,0.50426505130424037,88,0.042240169239751456,5,7612104.8610684294,4546164.5622403044,197.00413762032986,2.5880376218658463e-05,0.13408062912681809,73422,73422,73422,73422,146844,146844,1957920,342636,7.0597107182593648,0.0024892790375355411,7.6115944103413732e-05,1.473072894590174e-11,293.38937652425494,930.7135460402709,99999.992529911993,100000.00641368791,-0.014314385571954465,0.01431437971188707,-0.0508193276383343,0.050819328207418975,0.99925031306618783,0.20980106997527878,0.32406883380213353,0.83351748678622928,1,0,orfoz261,6266897,318.662640640
12,FLOW_INTENSITY__BC1_LOW_v005__M4_864x288__C1,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M4_864x288,864,288,0.05,nominal_chemistry,10000000,5,1000,1,C1,MG2W_3LEVEL,248832,864,288,432,144,216,72,3,3,40,1,2,194042,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,53519.895252748887,1621.7001631310793,3.030088447431678,2.339213778,53522.569316574001,194042,97339,0.50163882046154951,302,0.018622621686999706,4,37325389.398638085,13147043.992388085,1325.2364996290999,3.5504961126472657e-05,0.10019967621021376,292017,292017,292017,292017,584034,584034,7787120,1362746,7.0229434864616938,0.0074927991653659376,0.000139999755683683,3.510050985473744e-13,293.19818789152606,922.48100151131052,99999.98991979954,100000.00857117053,-0.014290389037781025,0.01429038840382418,-0.050444029852577892,0.050444029422093299,0.99960235341608439,0.20989511321697346,0.32072238846814044,0.83645887247772099,1,0,orfoz261,6266908,53522.688868608
13,FLOW_INTENSITY__BC1_LOW_v005__M4_864x288__C2,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M4_864x288,864,288,0.05,nominal_chemistry,10000000,5,1000,2,C2,MG2W_3LEVEL,248832,864,288,432,144,216,72,3,3,40,1,2,194042,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,27136.683711200174,885.48792802101377,3.2630661043358984,2.379469517,27139.248109043001,194042,97339,0.50163882046154951,302,0.018622621686999706,4,37325389.398638085,13147043.992388085,1325.2364996290999,3.5504961126472657e-05,0.10019967621021376,292017,292017,292017,292017,584034,584034,7787120,1362746,7.0229434864616938,0.0074927991653659376,0.00013999975568368235,3.5100509854739939e-13,293.19818789152606,922.48100151131052,99999.98991979954,100000.00857117053,-0.014290389037781025,0.01429038840382418,-0.050444029852577892,0.050444029422093299,0.99960235341608439,0.20989511321697346,0.32072238846814044,0.83645887247772099,1,0,orfoz182,6266924,27139.396870912
14,FLOW_INTENSITY__BC1_LOW_v005__M4_864x288__C4,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M4_864x288,864,288,0.05,nominal_chemistry,10000000,5,1000,4,C4,MG2W_3LEVEL,248832,864,288,432,144,216,72,3,3,40,1,2,194042,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,13933.906264153868,503.7624040059921,3.6153709839570456,2.3465434420000002,13936.362292712,194042,97339,0.50163882046154951,302,0.018622621686999706,4,37325389.398638085,13147043.992388085,1325.2364996290999,3.5504961126472657e-05,0.10019967621021376,292017,292017,292017,292017,584034,584034,7787120,1362746,7.0229434864616938,0.0074927991653659376,0.00013999975568368267,3.5100509854739273e-13,293.19818789152606,922.48100151131052,99999.98991979954,100000.00857117053,-0.014290389037781025,0.01429038840382418,-0.050444029852577892,0.050444029422093299,0.99960235341608439,0.20989511321697346,0.32072238846814044,0.83645887247772099,1,0,orfoz204,6267014,13937.038183168
15,FLOW_INTENSITY__BC1_LOW_v005__M4_864x288__C16,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M4_864x288,864,288,0.05,nominal_chemistry,10000000,5,1000,16,C16,MG2W_3LEVEL,248832,864,288,432,144,216,72,3,3,40,1,2,194042,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,4001.9928099099488,247.38193936200278,6.1814688609490345,2.342337471,4004.3935081640002,194042,97339,0.50163882046154951,302,0.018622621686999706,4,37325389.398638085,13147043.992388085,1325.2364996290999,3.5504961126472657e-05,0.10019967621021376,292017,292017,292017,292017,584034,584034,7787120,1362746,7.0229434864616938,0.0074927991653659376,0.000139999755683683,3.5100509854728807e-13,293.19818789152606,922.48100151131052,99999.98991979954,100000.00857117053,-0.014290389037781025,0.01429038840382418,-0.050444029852577892,0.050444029422093299,0.99960235341608439,0.20989511321697346,0.32072238846814044,0.83645887247772099,1,0,orfoz204,6267561,4004.559987200
16,FLOW_INTENSITY__BC2_NOMINAL_v010__M1_108x36__C1,FLOW_INTENSITY,FLOW,BC2_NOMINAL_v010,M1_108x36,108,36,0.1,nominal_chemistry,10000000,5,1000,1,C1,MG2W_3LEVEL,3888,108,36,54,18,27,9,3,3,40,1,2,20033,0.10000000000000001,-0.10000000000000001,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,83.92570224999946,3.3190038980000205,3.9546930308826127,0.069062101000000015,83.997413917000003,20033,10200,0.50915988618779018,8,0.088397540000837632,3,377872.03174547519,28955.766399610031,22.697688431821007,6.0067129940724433e-05,0.09220380749019301,30600,30600,30600,30600,61200,61200,816000,142800,7.1282384066290616,0.002046449324232924,0.0001299637302655945,5.2273589505952229e-11,293.37417528306071,1073.7654705242978,99999.995273107008,100000.00503466239,-0.03170474914863862,0.031704749172715388,-0.091588655126538646,0.091588655124523813,0.99909755646059406,0.20977344678616713,0.3815747433805694,0.99590625248379161,1,0,orfoz193,6267698,84.121969152
17,FLOW_INTENSITY__BC2_NOMINAL_v010__M1_108x36__C2,FLOW_INTENSITY,FLOW,BC2_NOMINAL_v010,M1_108x36,108,36,0.1,nominal_chemistry,10000000,5,1000,2,C2,MG2W_3LEVEL,3888,108,36,54,18,27,9,3,3,40,1,2,20033,0.10000000000000001,-0.10000000000000001,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,48.686656785999809,4.2304625330000025,8.6891621077923382,0.06922412700000001,48.757823916,20033,10200,0.50915988618779018,8,0.088397540000837632,3,377872.03174547519,28955.766399610031,22.697688431821007,6.0067129940724433e-05,0.09220380749019301,30600,30600,30600,30600,61200,61200,816000,142800,7.1282384066290616,0.002046449324232924,0.00012996373026559482,5.2273589505952306e-11,293.37417528306071,1073.7654705242978,99999.995273107008,100000.00503466239,-0.03170474914863862,0.031704749172715388,-0.091588655126538646,0.091588655124523813,0.99909755646059406,0.20977344678616713,0.3815747433805694,0.99590625248379161,1,0,orfoz193,6267700,48.827896576
18,FLOW_INTENSITY__BC2_NOMINAL_v010__M1_108x36__C4,FLOW_INTENSITY,FLOW,BC2_NOMINAL_v010,M1_108x36,108,36,0.1,nominal_chemistry,10000000,5,1000,4,C4,MG2W_3LEVEL,3888,108,36,54,18,27,9,3,3,40,1,2,20033,0.10000000000000001,-0.10000000000000001,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,31.310283692999953,5.1177153849999693,16.345158144140797,0.068585162000000005,31.381166390000001,20033,10200,0.50915988618779018,8,0.088397540000837632,3,377872.03174547519,28955.766399610031,22.697688431821007,6.0067129940724433e-05,0.09220380749019301,30600,30600,30600,30600,61200,61200,816000,142800,7.1282384066290616,0.002046449324232924,0.00012996373026559488,5.2273589505952106e-11,293.37417528306071,1073.7654705242978,99999.995273107008,100000.00503466239,-0.03170474914863862,0.031704749172715388,-0.091588655126538646,0.091588655124523813,0.99909755646059406,0.20977344678616713,0.3815747433805694,0.99590625248379161,1,0,orfoz193,6267701,31.461603072
19,FLOW_INTENSITY__BC2_NOMINAL_v010__M1_108x36__C16,FLOW_INTENSITY,FLOW,BC2_NOMINAL_v010,M1_108x36,108,36,0.1,nominal_chemistry,10000000,5,1000,16,C16,MG2W_3LEVEL,3888,108,36,54,18,27,9,3,3,40,1,2,20033,0.10000000000000001,-0.10000000000000001,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,27.586286636000096,9.7569089330000676,35.368692646973749,0.06872288700000001,27.658076632,20033,10200,0.50915988618779018,8,0.088397540000837632,3,377872.03174547519,28955.766399610031,22.697688431821007,6.0067129940724433e-05,0.09220380749019301,30600,30600,30600,30600,61200,61200,816000,142800,7.1282384066290616,0.002046449324232924,0.00012996373026559474,5.2273589505952203e-11,293.37417528306071,1073.7654705242978,99999.995273107008,100000.00503466239,-0.03170474914863862,0.031704749172715388,-0.091588655126538646,0.091588655124523813,0.99909755646059406,0.20977344678616713,0.3815747433805694,0.99590625248379161,1,0,orfoz193,6267702,27.737172224
